"District","Mandal","School.UDISE.Code","School.Name","Enrollment","School_Category"
"KRISHNA","Chandarlapadu",28160501304,"ZPHS Thotaravulapadu",157,"7-Upper Pr. and Secondary"
"GUNTUR","Amthurhaluru",28174900107,"SKV HIGH SCHOOL KUCHIPUDI",241,"7-Upper Pr. and Secondary"
"GUNTUR","Amthurhaluru",28132102101,"MPPS GOVADA",111,"1-Primary"
"GUNTUR","Amthurhaluru",28174900102,"MPPS NTR ROAD",97,"1-Primary"
"GUNTUR","Ponnur",28174801906,"ZPHS NANDURU",239,"7-Upper Pr. and Secondary"
"EAST GODAVARI","Kothapeta",28144600204,"ZPHS VADAPALEM",488,"7-Upper Pr. and Secondary"
"ANANTAPUR","Kanekal ",28221700105,"ZPHS GANIGERA",163,"7-Upper Pr. and Secondary"
"SRIKAKULAM","Jalumuru",28112302603,"ZPHS ALLADA",125,"7-Upper Pr. and Secondary"
"ANANTAPUR","Kanekar",28221700103,"MPPS GANIGERA",133,"1-Primary"
"KURNOOL","Orvakallu",28211701504,"ZPHS UYYALAWADA",353,"7-Upper Pr. and Secondary"
"KURNOOL","kurnool",28210790537,"MCPS A CAMP",366,"1-Primary"
"EAST GODAVARI","Razole",28145700510,"ZPHS SIVAKODU",310,"7-Upper Pr. and Secondary"
"ANANTAPUR","Vidapanakal",28220300705,"ZPHS KOTTALAPALLI",110,"7-Upper Pr. and Secondary"
"PRAKASAM","Pangulur",28182601406,"ZPHS CHANDALUR",313,"7-Upper Pr. and Secondary"
"WEST GODAVARI","TADEPALLI GUDEM",28151800705,"ZPHS, KADIYADDA",486,"7-Upper Pr. and Secondary"
"WEST GODAVARI","TADEPALLI GUDEM",28151800803,"MPPS, MODUGAGUNTA",115,"1-Primary"
"WEST GODAVARI","TADEPALLI GUDEM",28151800907,"ZPHS, MADHAVARAM",329,"7-Upper Pr. and Secondary"
"WEST GODAVARI","TADEPALLI GUDEM",28151801005,"ZPHS, JAGANADHAPURAM",343,"7-Upper Pr. and Secondary"
"WEST GODAVARI","TADEPALLI GUDEM",28151801402,"ZPHS, KRISHNAYAPALEM",187,"7-Upper Pr. and Secondary"
"CHITTOOR","Chittapara",28235503204,"ZPHS Chittapara",77,"7-Upper Pr. and Secondary"
"CHITTOOR","GUDUPALLE",28236501604,"ZPHS GUDUPALLE",556,"7-Upper Pr. and Secondary"
"NELLORE","VALLIPEDU",28193802502,"ZPHS VALLIPEDU",207,"7-Upper Pr. and Secondary"
"PRAKASAM","PONNALUR",28184101306,"ZPHS,PONNALUR",285,"7-Upper Pr. and Secondary"
"GUNTUR","Ravela",28171300806,"ZPHS RAVELA",465,"7-Upper Pr. and Secondary"
"GUNTUR","NADENDLA",28173801012,"ZPHS NADENDLA",442,"7-Upper Pr. and Secondary"
"KRISHNA","CHINNAPURAM",28163702204,"ZPHS CHINNAPURAM",423,"7-Upper Pr. and Secondary"
"PRAKASAM","BODDUVANI PALEM",28182700213,"ZPHS MEDARAMETLA",427,"7-Upper Pr. and Secondary"
"PRAKASAM","Daivalaravuru",28182700704,"ZPHS DAIVALARAVURU",141,"7-Upper Pr. and Secondary"
"GUNTUR","KANUPARRU",28173800707,"ZPHS KANAPARRU",181,"7-Upper Pr. and Secondary"
"PRAKASAM","MANGAMURU",28184301604,"ZPHS,MANGAMURU",187,"7-Upper Pr. and Secondary"
"PRAKASAM","MACHAVARAM",28185001707,"ZPHS,MACHAVARAM (POST)",383,"7-Upper Pr. and Secondary"
"WEST GODAVARI","SINGAGUDEM",28151000405,"ZPHS, SINGAGUDEM",402,"7-Upper Pr. and Secondary"
"EAST GODAVARI","RANGAMPETA",28142600306,"ZPHS RANGAMPETA",703,"7-Upper Pr. and Secondary"
"KRISHNA","KANUMURU",28161201803,"ZPHS KANUMURU",202,"7-Upper Pr. and Secondary"
"PRAKASAM","Kandukur",28210200302,"ZPHS KANDUKUR",287,"7-Upper Pr. and Secondary"
